alpha,variable,value,metric,group,model_number,percent
0.44,ppv_0,0.8311874105865522,ppv,Black,22,83.11874105865522
0.46,ppv_0,0.8329749103942652,ppv,Black,23,83.29749103942652
0.48,ppv_0,0.8347701149425287,ppv,Black,24,83.47701149425288
0.5,ppv_0,0.8365730741540677,ppv,Black,25,83.65730741540676
0.52,ppv_0,0.8383838383838383,ppv,Black,26,83.83838383838383
0.54,ppv_0,0.8402024584237165,ppv,Black,27,84.02024584237165
0.56,ppv_0,0.8420289855072464,ppv,Black,28,84.20289855072464
0.58,ppv_0,0.8444767441860465,ppv,Black,29,84.44767441860465
0.6,ppv_0,0.8463219227967953,ppv,Black,30,84.63219227967953
0.62,ppv_0,0.8481751824817518,ppv,Black,31,84.81751824817519
0.64,ppv_0,0.8500365764447696,ppv,Black,32,85.00365764447696
0.66,ppv_0,0.8519061583577713,ppv,Black,33,85.19061583577712
0.68,ppv_0,0.8537839823659075,ppv,Black,34,85.37839823659074
0.7000000000000001,ppv_0,0.8556701030927835,ppv,Black,35,85.56701030927834
0.72,ppv_0,0.8575645756457565,ppv,Black,36,85.75645756457565
0.74,ppv_0,0.8594674556213018,ppv,Black,37,85.94674556213018
0.76,ppv_0,0.8613787991104522,ppv,Black,38,86.13787991104522
0.78,ppv_0,0.8632986627043091,ppv,Black,39,86.32986627043091
0.8,ppv_0,0.8652271034996277,ppv,Black,40,86.52271034996278
0.8200000000000001,ppv_0,0.8671641791044776,ppv,Black,41,86.71641791044776
0.84,ppv_0,0.8691099476439791,ppv,Black,42,86.91099476439791
0.86,ppv_0,0.8710644677661169,ppv,Black,43,87.10644677661169
0.88,ppv_0,0.8730277986476334,ppv,Black,44,87.30277986476334
0.9,ppv_0,0.875,ppv,Black,45,87.5
0.92,ppv_0,0.8769811320754717,ppv,Black,46,87.69811320754717
0.9400000000000001,ppv_0,0.8789712556732224,ppv,Black,47,87.89712556732225
0.96,ppv_0,0.8809704321455648,ppv,Black,48,88.09704321455648
0.98,ppv_0,0.8829787234042553,ppv,Black,49,88.29787234042553
1.0,ppv_0,0.884996191926885,ppv,Black,50,88.4996191926885
0.0,fdr_0,0.3662149385439647,fdr,Black,0,36.62149385439647
0.02,fdr_0,0.3662149385439647,fdr,Black,1,36.62149385439647
0.04,fdr_0,0.3662149385439647,fdr,Black,2,36.62149385439647
0.06,fdr_0,0.3662149385439647,fdr,Black,3,36.62149385439647
0.08,fdr_0,0.3662149385439647,fdr,Black,4,36.62149385439647
0.1,fdr_0,0.3662149385439647,fdr,Black,5,36.62149385439647
0.12,fdr_0,0.3662149385439647,fdr,Black,6,36.62149385439647
0.14,fdr_0,0.3662149385439647,fdr,Black,7,36.62149385439647
0.16,fdr_0,0.3662149385439647,fdr,Black,8,36.62149385439647
0.18,fdr_0,0.3662149385439647,fdr,Black,9,36.62149385439647
0.2,fdr_0,0.3662149385439647,fdr,Black,10,36.62149385439647
0.22,fdr_0,0.3662149385439647,fdr,Black,11,36.62149385439647
0.24,fdr_0,0.3662149385439647,fdr,Black,12,36.62149385439647
0.26,fdr_0,0.3662149385439647,fdr,Black,13,36.62149385439647
0.28,fdr_0,0.3662149385439647,fdr,Black,14,36.62149385439647
0.3,fdr_0,0.3662149385439647,fdr,Black,15,36.62149385439647
0.32,fdr_0,0.3662149385439647,fdr,Black,16,36.62149385439647
0.34,fdr_0,0.3662149385439647,fdr,Black,17,36.62149385439647
0.36,fdr_0,0.3662149385439647,fdr,Black,18,36.62149385439647
0.38,fdr_0,0.3662149385439647,fdr,Black,19,36.62149385439647
0.4,fdr_0,0.3662149385439647,fdr,Black,20,36.62149385439647
0.42,fdr_0,0.3662149385439647,fdr,Black,21,36.62149385439647
0.44,fdr_0,0.3662149385439647,fdr,Black,22,36.62149385439647
0.46,fdr_0,0.3662149385439647,fdr,Black,23,36.62149385439647
0.48,fdr_0,0.3662149385439647,fdr,Black,24,36.62149385439647
0.5,fdr_0,0.3662149385439647,fdr,Black,25,36.62149385439647
0.52,fdr_0,0.3662149385439647,fdr,Black,26,36.62149385439647
0.54,fdr_0,0.3662149385439647,fdr,Black,27,36.62149385439647
0.56,fdr_0,0.3662149385439647,fdr,Black,28,36.62149385439647
0.58,fdr_0,0.3662149385439647,fdr,Black,29,36.62149385439647
0.6,fdr_0,0.3662149385439647,fdr,Black,30,36.62149385439647
0.62,fdr_0,0.3662149385439647,fdr,Black,31,36.62149385439647
0.64,fdr_0,0.3662149385439647,fdr,Black,32,36.62149385439647
0.66,fdr_0,0.3662149385439647,fdr,Black,33,36.62149385439647
0.68,fdr_0,0.3662149385439647,fdr,Black,34,36.62149385439647
0.7000000000000001,fdr_0,0.3662149385439647,fdr,Black,35,36.62149385439647
0.72,fdr_0,0.3662149385439647,fdr,Black,36,36.62149385439647
0.74,fdr_0,0.3662149385439647,fdr,Black,37,36.62149385439647
0.76,fdr_0,0.3662149385439647,fdr,Black,38,36.62149385439647
0.78,fdr_0,0.3662149385439647,fdr,Black,39,36.62149385439647
0.8,fdr_0,0.3662149385439647,fdr,Black,40,36.62149385439647
0.8200000000000001,fdr_0,0.3662149385439647,fdr,Black,41,36.62149385439647
0.84,fdr_0,0.3662149385439647,fdr,Black,42,36.62149385439647
0.86,fdr_0,0.3662149385439647,fdr,Black,43,36.62149385439647
0.88,fdr_0,0.3662149385439647,fdr,Black,44,36.62149385439647
0.9,fdr_0,0.3662149385439647,fdr,Black,45,36.62149385439647
0.92,fdr_0,0.3662149385439647,fdr,Black,46,36.62149385439647
0.9400000000000001,fdr_0,0.3662149385439647,fdr,Black,47,36.62149385439647
0.96,fdr_0,0.3662149385439647,fdr,Black,48,36.62149385439647
0.98,fdr_0,0.3662149385439647,fdr,Black,49,36.62149385439647
1.0,fdr_0,0.3662149385439647,fdr,Black,50,36.62149385439647
